Oatmeal, -62
Distractor, -46
Timer, -48
Oatmeal, -62
Distractor, -46
Timer, -48
Oatmeal, -62
Distractor, -46
Timer, -48.6
Salt, None
Oatmeal, -62
Distractor, -46
Timer, -50.82
Salt, None
Oatmeal, -58.7
Distractor, -48.4
Timer, -50.82
Salt, None
Oatmeal, -58.7
Distractor, -48.4
Timer, -50.82
Salt, None
Oatmeal, -60.59
Distractor, -47.68
Timer, -50.82
Salt, None
Oatmeal, -60.59
Distractor, -47.68
Timer, -50.82
Salt, -47
Oatmeal, -57.71
Distractor, -48.68
Timer, -49.97
Salt, -47
Oatmeal, -60.5
Distractor, -50.28
Timer, -49.97
Salt, -47
Oatmeal, -60.5
Distractor, -50.28
Timer, -49.97
Salt, -48.2
Oatmeal, -60.5
Distractor, -49.0
Timer, -51.78
Salt, -47.54
Oatmeal, -61.55
Distractor, -49.0
Timer, -51.78
Salt, -47.54
Oatmeal, -58.38
Distractor, -49.0
Timer, -51.78
Salt, -47.54
Oatmeal, -58.38
Distractor, -49.6
Timer, -51.78
Salt, -47.54
Oatmeal, -60.07
Distractor, -50.94
Timer, -51.25
Salt, -47.54
Oatmeal, -60.07
Distractor, -50.94
Timer, -50.27
Salt, -47.08
Oatmeal, -57.35
Distractor, -50.96
Timer, -50.27
Salt, -47.08
Oatmeal, -57.35
Distractor, -51.87
Timer, -50.27
Salt, -47.08
Oatmeal, -57.35
Distractor, -51.61
Timer, -50.19
Salt, -47.08
Oatmeal, -57.35
Distractor, -51.61
Timer, -50.19
Salt, -47.08
Oatmeal, -57.35
Distractor, -51.61
Timer, -50.19
Salt, -46.46
Oatmeal, -57.35
Distractor, -51.61
Timer, -50.19
Salt, -46.46
Oatmeal, -57.35
Distractor, -51.3
Timer, -51.93
Salt, -46.46
Oatmeal, -57.35
Distractor, -51.3
Timer, -51.93
Salt, -46.46
Oatmeal, -59.64
Distractor, -51.3
Timer, -51.93
Salt, -46.46
Oatmeal, -59.64
Distractor, -49.71
Timer, -51.93
Salt, -46.46
Oatmeal, -59.64
Distractor, -50.1
Timer, -51.35
Salt, -46.97
Oatmeal, -60.65
Distractor, -48.87
Timer, -51.35
Salt, -46.97
Oatmeal, -60.65
Distractor, -48.87
Timer, -51.35
Salt, -46.38
Oatmeal, -60.65
Distractor, -48.87
Timer, -51.35
Salt, -46.38
Oatmeal, -57.75
Distractor, -48.01
Timer, -51.35
Salt, -46.27
Oatmeal, -59.62
Distractor, -47.41
Timer, -53.72
Salt, -46.27
Oatmeal, -57.03
Distractor, -47.41
Timer, -53.72
Salt, -46.19
Oatmeal, -57.03
Distractor, -48.49
Timer, -52.0
Salt, -46.19
Oatmeal, -57.03
Distractor, -50.14
Timer, -51.4
Salt, -46.19
Oatmeal, -58.82
Distractor, -50.14
Timer, -52.78
Salt, -47.63
Oatmeal, -57.56
Distractor, -48.9
Timer, -51.65
Salt, -47.63
Oatmeal, -57.56
Distractor, -48.9
Timer, -51.65
Salt, -47.63
Oatmeal, -55.59
Distractor, -48.9
Timer, -51.65
Salt, -47.63
Oatmeal, -55.59
Distractor, -49.53
Timer, -50.85
Salt, -47.14
Oatmeal, -55.59
Distractor, -49.53
Timer, -50.85
Salt, -46.8
Oatmeal, -57.81
Distractor, -50.87
Timer, -49.99
Salt, -46.8
Oatmeal, -57.81
Distractor, -49.41
Timer, -49.99
Salt, -46.8
Oatmeal, -57.81
Distractor, -50.79
Timer, -49.18
Salt, -46.8
Oatmeal, -59.37
Distractor, -50.79
Timer, -49.18
Salt, -46.56
Oatmeal, -60.76
Distractor, -50.79
Timer, -49.43
Salt, -46.56
Oatmeal, -60.76
Distractor, -51.75
Timer, -49.43
Salt, -47.89
Oatmeal, -61.43
Distractor, -51.75
Timer, -49.43
Salt, -47.02
Oatmeal, -61.43
Distractor, -51.75
Timer, -51.4
Salt, -47.02
Oatmeal, -61.43
Distractor, -51.75
Timer, -51.4
Salt, -46.71
Oatmeal, -62.2
Distractor, -51.75
Timer, -51.4
Salt, -46.5
Oatmeal, -62.2
Distractor, -51.75
Timer, -51.4
Salt, -46.5
Oatmeal, -62.2
Distractor, -51.75
Timer, -51.4
Salt, -47.85
Oatmeal, -62.2
Distractor, -51.52
Timer, -51.4
Salt, -47.85
